,Office,Suboffice,Program,Value_FY2024,Value_FY2025,Value_FY2026,PercChange_25to26
333,Defense Environmental Cleanup,Construction - Richland,24-D-401 Environmental Restoration Disposal Facility Supercell 11 Expansion Proj,1000,25000,0,-1.0
334,Uranium Enrichment Decontamination and Decommissioning (UED&D),Construction - Portsmouth,20-U-401 On-site Waste Disposal Facility (Cell Line 2&3),74552,82000,14000,-0.8292682926829268
339,Defense Environmental Cleanup,Construction - Office of River Protection,18-D-16 Waste treatment and immobilization plant - LBL/Direct Feed LAW,150000,250000,0,-1.0
348,Defense Environmental Cleanup,Construction - Idaho,22-D-404 Additional ICDF Landfill Disposal Cell and Evaporation Ponds Project,46500,39300,0,-1.0
357,Science,Construction - Basic Energy Sciences,"24-SC-10, HFIR Pressure Vessel Replacement (PVR), ORNL",4000,6000,0,-1.0
358,Science,Construction - Basic Energy Sciences,24-SC-12 NSLS-II Experimental Tools - III (NEXT-III),2556,5500,0,-1.0
365,Fossil Energy,Coal and Carbon Utilization (formerly Carbon Management Technologies),Carbon Utilization,52500,52500,0,-1.0
367,Fossil Energy,Coal and Carbon Utilization (formerly Carbon Management Technologies),Hydrogen with Carbon Management,85000,85000,0,-1.0
370,Defense Environmental Cleanup,Closure Sites Administration,Closure Sites Administration,3024,1350,500,-0.6296296296296297
371,Office of Clean Energy Demonstrations,Clean Energy Demonstrations,Clean Energy Demonstrations,22500,22500,0,-1.0
374,Energy Efficiency and Renewable Energy,Buildings and Industry,Advanced Materials & Manufacturing Technologies Office,215000,365000,70000,-0.8082191780821918
375,Energy Efficiency and Renewable Energy,Buildings and Industry,Industrial Technologies(formerly Industrial Efficiency & Decarbonization Office),237000,409000,80000,-0.80440097799511
376,Energy Efficiency and Renewable Energy,Buildings and Industry,Building Technologies,332000,147620,20000,-0.8645170031161089
378,Science,Biological and Environmental Research,Research - Biological & Environmental Research,890000,851000,384920,-0.5476850763807286
382,Nuclear Energy,Advanced Reactors Demonstration Program,23-E-200 LOTUS Project,32000,16112,7559,-0.5308465739821251
384,Nuclear Energy,Advanced Reactors Demonstration Program,Demonstration 1,30000,30000,10000,-0.6666666666666666
385,Nuclear Energy,Advanced Reactors Demonstration Program,Demonstration 2,30000,30000,10000,-0.6666666666666666
386,Nuclear Energy,Advanced Reactors Demonstration Program,National Reactor Innovation Center,65000,63000,31000,-0.5079365079365079
389,Science,Accelerator R&D and Production,Research - Accelerator R&D and Production,29000,27000,0,-1.0
