,Office,Suboffice,Program,Value_FY2024,Value_FY2025,Value_FY2026,PercChange_25to26
256,Defense Environmental Cleanup,Idaho Community and Regulatory Support,Idaho Community and Regulatory Support,2705,2705,3779,0.39704251386321626
257,Defense Environmental Cleanup,Idaho Cleanup and Waste Disposition,Idaho Cleanup and Waste Disposition,425000,435006,452242,0.039622441989305895
261,Electricity,Grid Deployment,Grid Deployment - GD,0,0,13500,1.0
262,Electricity,Grid Deployment,Program Direction - GD,0,0,1500,1.0
267,Departmental Administration,General Counsel,General Counsel,37000,37000,37500,0.013513513513513514
271,Science,Fusion Energy Sciences,Research - Fusion Energy Sciences,540000,590000,667280,0.13098305084745762
276,Nuclear Energy,Fuel Cycle Research and Development,Materials Recovery and Waste Form Development,55000,33000,51000,0.5454545454545454
283,National Nuclear Security Administration (NNSA),Federal Salaries and Expenses,Program Direction - National Nuclear Security Administration,500000,500000,555000,0.11
287,Power Marketing Administrations,Falcon and Amistad Fund,Falcon And Amistad Operation And Maintenance,8297,8110,10582,0.3048088779284834
289,Power Marketing Administrations,Falcon and Amistad Fund,Offsetting Collections - Falcon and Amistad Fund,-3197,-3197,-6282,0.9649671567094151
291,Energy Efficiency and Renewable Energy,Facilities and Infrastructure,"21-EE-001, Energy Materials Processing at Scale (EMAPS)",50000,50000,54000,0.08
295,Other Defense Activities,"Environment, Health, Safety and Security","Program Direction - Environment, Health, Safety and Security",86558,86558,90555,0.04617712978580836
300,Other Defense Activities,Defense-Related Administrative Support,Defense-Related Administrative Support,203782,202782,214626,0.05840755096606207
302,Departmental Administration,Defense Related Administrative Support,Defense Related Administrative Support,-203782,-202782,-214626,0.05840755096606207
303,National Nuclear Security Administration (NNSA),Defense Nuclear Nonproliferation,"18-D-150, Surplus Plutonium Disposition Project, SRS",77211,40000,50000,0.25
305,National Nuclear Security Administration (NNSA),Defense Nuclear Nonproliferation,Counterterrorism and Counterproliferation,483898,507050,596878,0.1771580711961345
306,National Nuclear Security Administration (NNSA),Defense Nuclear Nonproliferation,Emergency Management,19123,23847,33122,0.38893781188409443
309,National Nuclear Security Administration (NNSA),Defense Nuclear Nonproliferation,Legacy Contractor Pensions and Settlement Payments - DNN,22587,100,20993,208.93
312,National Nuclear Security Administration (NNSA),Defense Nuclear Nonproliferation,Nonproliferation Stewardship Program,125000,124875,149383,0.19626026026026025
314,National Nuclear Security Administration (NNSA),Defense Nuclear Nonproliferation,Nuclear Material Removal and Elimination,47100,37825,61000,0.612690019828156
316,National Nuclear Security Administration (NNSA),Defense Nuclear Nonproliferation,Plutonium Disposition,282250,147045,150686,0.024761127545989324
321,Critical and Emerging Technologies,Critical and Emerging Technologies,Critical and Emerging Technologies,0,0,2000,1.0
328,Defense Environmental Cleanup,Construction - Savannah River Risk Management Operations,19-D-701 SR Security Systems Replacement,0,0,708,1.0
335,Uranium Enrichment Decontamination and Decommissioning (UED&D),Construction - Portsmouth,25-U-401 On Site Waste Disposal Facility Liner Buildout and Final Cover Systems,0,0,20000,1.0
338,Defense Environmental Cleanup,Construction - Office of River Protection,15-D-409 Low Activity Waste Pretreatment System,60000,37500,78600,1.096
340,Defense Environmental Cleanup,Construction - Office of River Protection,"23-D-403, Hanford 200 West Area Tank Farms Risk Management Project",15309,37809,108200,1.8617524927927214
342,Defense Environmental Cleanup,Construction - Oak Ridge,17-D-401 On-site Waste Disposal Facility,35000,10000,15050,0.505
362,Power Marketing Administrations,Colorado River Basins Power Marketing Fund,Program Direction - Colorado River Basins Fund,80381,83693,89204,0.06584780089135292
363,Fossil Energy,Coal and Carbon Utilization (formerly Carbon Management Technologies),Advanced Energy Systems (combines H2 w Carbon Mgmt & Energy Asset Transport),0,0,75000,1.0
366,Fossil Energy,Coal and Carbon Utilization (formerly Carbon Management Technologies),Conversion and Value-Added Products (combines CO2 Removal & Carbon Util.),0,0,34000,1.0
